Date,gold,oil,tsx,vix
2013-11-04,1370.09,98.4943,13361.78,13.3
2013-11-05,1367.34,97.9756,13361.71,12.64
2013-11-06,1372.89,98.8758,13380.41,12.1
2013-11-07,1368.48,98.6922,13294.2,12.52
2013-11-08,1346.01,98.8605,13378.33,13.02
2013-11-11,1341.92,99.4777,13358.39,15.27
2013-11-12,1334.21,97.6866,13326.04,13.72
2013-11-13,1325.98,97.8082,13370.66,14.26
2013-11-14,1345.54,98.3938,13431.38,14.63
2013-11-15,1343.88,97.8539,13482.57,12.49
2013-11-18,1326.87,97.6785,13458.06,13.6
2013-11-19,1333.26,98.2527,13442.77,12.96
2013-11-20,1314.83,97.9768,13430.01,12.49
2013-11-21,1307.85,100.2158,13475.33,12.17
2013-11-22,1308.1,99.6943,13478.34,11.42
2013-11-25,1308.63,99.3875,13472.22,11.38
2013-11-26,1308.67,98.6271,13349.77,12.04
2013-11-27,1311.51,97.6656,13362.06,12.18
2013-11-28,1316.19,97.6904,13370.83,13.34
2013-11-29,1327.46,98.4911,13395.4,12.65
2013-12-02,1301.01,100.1075,13419.57,15.02
2013-12-03,1300.79,103.3313,13319.87,13.87
2013-12-04,1333.4,103.6514,13304.92,14.86
2013-12-05,1313.87,103.7882,13200.4,12.58
2013-12-06,1308.55,104.0357,13280.72,12.83
2013-12-09,1312.89,103.5643,13312.78,12.96
2013-12-10,1338.42,104.7297,13324.01,12.71
2013-12-11,1332.73,103.1586,13133.42,13.46
2013-12-12,1304.39,103.69200000000001,13114.39,13.59
2013-12-13,1308.03,102.1417,13125.7,13.64
2013-12-16,1319.81,103.3293,13184.41,13.67
2013-12-17,1305.9,103.4347,13180.16,13.35
2013-12-18,1322.88,104.8769,13334.73,14.58
2013-12-19,1274.39,105.4358,13392.2,14.33
2013-12-20,1281.61,105.4771,13399.6,12.13
2013-12-23,1270.97,104.7039,13447.7,14.41
2013-12-24,1281.2,105.29799999999999,13518.02,10.3
2013-12-27,1301.89,107.2023,13587.98,10.49
2013-12-30,1280.98,105.7563,13581.39,10.75
2013-12-31,1276.44,104.9181,13621.55,11.94
2014-01-02,1307.22,101.8118,13594.19,11.73
2014-01-03,1317.03,100.21600000000001,13548.86,11.38
2014-01-06,1318.91,99.8884,13495.54,13.33
2014-01-07,1323.5,101.2324,13596.93,13.44
2014-01-08,1325.65,100.1632,13614.63,12.04
2014-01-09,1332.57,100.1215,13629.41,14.03
2014-01-10,1358.21,101.1278,13747.52,14.58
2014-01-13,1358.79,99.7444,13681.48,15.96
2014-01-14,1362.96,101.3373,13692.38,15.87
2014-01-15,1354.0,103.4618,13772.58,15.39
2014-01-16,1355.49,102.9838,13831.58,11.29
2014-01-17,1372.03,103.4021,13888.21,11.22
2014-01-20,1374.1,102.9065,13990.29,10.88
2014-01-21,1362.32,104.4131,13951.77,10.28
2014-01-22,1373.61,107.2858,13988.2,9.21
2014-01-23,1401.64,108.0599,13932.97,11.07
2014-01-24,1402.04,107.3927,13717.76,12.31
2014-01-27,1404.62,106.3865,13582.29,14.15
2014-01-28,1394.96,108.2418,13687.66,13.31
2014-01-29,1410.12,109.1692,13643.22,12.12
2014-01-30,1385.92,109.3957,13735.28,13.62
2014-01-31,1380.19,108.4729,13694.94,13.15
2014-02-03,1401.38,107.3255,13486.2,15.99
2014-02-04,1387.39,108.3734,13504.48,14.87
2014-02-05,1393.44,108.0007,13559.69,15.94
2014-02-06,1392.07,108.3982,13713.4,14.08
2014-02-07,1393.6,110.4095,13786.5,14.91
2014-02-10,1409.4,110.5636,13794.18,11.72
2014-02-11,1419.88,110.5944,13880.99,11.87
2014-02-12,1424.97,110.2837,13900.49,13.42
2014-02-13,1427.44,110.024,14001.65,11.66
2014-02-14,1448.18,110.2087,14054.76,9.04
2014-02-18,1450.14,112.2211,14077.47,14.55
2014-02-19,1463.11,113.9105,14119.73,13.47
2014-02-20,1461.66,114.1175,14210.37,11.46
2014-02-21,1470.84,113.7577,14205.72,13.2
2014-02-24,1479.77,113.5021,14227.08,14.25
2014-02-25,1488.58,113.0603,14188.98,12.11
2014-02-26,1477.91,113.9875,14188.58,13.71
2014-02-27,1480.87,113.4271,14214.74,11.75
2014-02-28,1462.21,113.5743,14209.59,11.87
2014-03-03,1495.29,115.9675,14212.74,13.37
2014-03-04,1483.81,114.5805,14289.86,12.67
2014-03-05,1478.11,111.3913,14304.17,13.64
2014-03-06,1484.9,111.8565,14271.92,9.29
2014-03-07,1483.15,113.8021,14299.08,13.71
2014-03-10,1490.11,112.1899,14302.06,14.31
2014-03-11,1495.28,110.4996,14267.23,13.53
2014-03-12,1523.91,109.0726,14319.0,13.0
2014-03-13,1519.6,108.7306,14245.14,13.19
2014-03-14,1531.37,109.9388,14227.66,13.71
2014-03-17,1517.69,107.8525,14231.89,12.89
2014-03-18,1513.36,109.5962,14368.98,11.32
2014-03-19,1507.87,111.5105,14334.04,11.51
2014-03-20,1495.62,110.9411,14361.83,12.57
2014-03-21,1499.27,111.7804,14335.76,10.38
2014-03-24,1467.49,111.2725,14278.55,11.5
2014-03-25,1464.43,110.8546,14299.49,12.97
2014-03-26,1447.1,111.1825,14184.1,13.22
2014-03-27,1428.24,111.81299999999999,14178.84,12.32
2014-03-28,1431.04,112.363,14260.72,11.52
2014-03-31,1418.12,112.0856,14335.31,10.87
2014-04-01,1410.49,109.8742,14380.55,10.86
2014-04-02,1423.61,109.4833,14459.11,9.19
2014-04-03,1417.35,110.8197,14402.21,11.48
2014-04-04,1431.14,111.01700000000001,14393.1,10.25
2014-04-07,1424.65,110.5867,14270.33,11.79
2014-04-08,1429.65,111.8001,14372.45,12.15
2014-04-09,1420.1,112.5146,14435.58,11.79
2014-04-10,1443.68,112.9739,14308.0,11.75
2014-04-11,1448.17,113.5051,14257.69,13.59
2014-04-14,1454.47,113.5059,14284.43,11.69
2014-04-15,1427.16,114.0324,14303.92,11.87
2014-04-16,1434.82,114.3731,14446.52,10.8
2014-04-17,1423.04,114.1573,14500.39,9.58
2014-04-21,1418.19,114.05,14493.68,10.07
2014-04-22,1412.06,112.4674,14555.97,10.62
2014-04-23,1416.81,112.0138,14533.39,9.7
2014-04-24,1422.35,112.307,14554.25,11.82
2014-04-25,1435.81,111.1359,14533.57,11.26
2014-04-28,1432.72,111.1918,14530.91,11.86
2014-04-29,1418.25,110.2614,14583.11,11.38
2014-04-30,1420.15,109.3894,14651.87,10.7
2014-05-01,1405.98,108.8812,14664.07,10.59
2014-05-02,1429.39,109.6425,14765.15,10.29
2014-05-05,1434.05,108.9323,14697.03,11.12
2014-05-06,1425.16,108.7554,14612.29,12.61
2014-05-07,1404.62,109.9151,14656.4,11.28
2014-05-08,1394.35,108.5988,14546.03,12.8
2014-05-09,1402.59,109.0468,14534.06,12.18
2014-05-12,1411.64,109.5741,14654.94,13.18
2014-05-13,1411.78,111.1168,14679.81,13.52
2014-05-14,1421.71,111.0299,14673.73,11.28
2014-05-15,1408.27,110.4998,14588.89,11.49
2014-05-16,1404.23,110.4442,14514.74,11.79
2014-05-20,1412.28,112.2503,14525.19,10.02
2014-05-21,1405.65,113.2756,14649.86,10.24
2014-05-22,1410.26,112.9456,14702.29,9.2
2014-05-23,1403.0,113.3568,14708.1,10.06
2014-05-26,1403.52,113.1798,14715.69,10.94
2014-05-27,1373.49,113.0007,14658.02,10.56
2014-05-28,1369.25,111.9844,14610.96,11.7
2014-05-29,1361.4,112.1729,14588.95,10.72
2014-05-30,1350.54,111.5831,14604.16,10.83
2014-06-02,1355.68,111.8391,14680.76,10.68
2014-06-03,1357.37,112.2613,14734.69,10.28
2014-06-04,1360.75,111.8804,14796.79,12.1
2014-06-05,1368.95,111.9187,14800.18,10.82
2014-06-06,1369.31,112.3753,14838.9,9.72
2014-06-09,1366.66,114.0117,14871.21,9.92
2014-06-10,1373.38,113.7528,14904.38,9.83
2014-06-11,1370.14,113.5652,14892.13,10.01
2014-06-12,1382.24,116.0892,14909.63,9.68
2014-06-13,1382.65,115.913,15001.61,10.13
2014-06-16,1382.6,115.71799999999999,15040.43,12.78
2014-06-17,1381.08,115.1553,15055.89,9.65
2014-06-18,1378.85,114.806,15109.25,11.2
2014-06-19,1421.14,114.8164,15112.22,9.53
2014-06-20,1416.03,114.7488,15108.97,10.25
2014-06-23,1414.01,113.7829,15105.63,10.45
2014-06-24,1419.56,114.9366,14962.37,11.34
2014-06-25,1417.15,114.4595,14974.65,11.16
2014-06-26,1406.84,112.9368,15030.74,10.44
2014-06-27,1407.08,112.7568,15094.25,9.93
2014-06-30,1573.94,112.6261,15146.01,10.77
2014-07-02,1583.62,111.1327,15209.79,9.84
2014-07-03,1569.12,110.7676,15207.11,10.33
2014-07-04,1407.88,110.5525,15214.96,7.8
2014-07-07,1572.82,110.4777,15172.93,10.77
2014-07-08,1571.17,110.4556,15137.18,11.42
2014-07-09,1576.33,108.4902,15215.19,11.93
2014-07-10,1591.97,109.5018,15114.48,11.67
2014-07-11,1602.34,107.9326,15125.5,11.31
2014-07-14,1564.59,108.1265,15171.23,11.21
2014-07-15,1561.55,107.755,15081.32,11.22
2014-07-16,1562.73,108.9243,15226.34,10.78
2014-07-17,1584.27,111.7991,15204.48,11.37
2014-07-18,1571.74,109.2244,15266.57,10.9
2014-07-21,1577.84,110.338,15249.99,11.55
2014-07-22,1569.42,109.4923,15315.13,10.63
2014-07-23,1566.68,110.7413,15394.38,10.72
2014-07-24,1555.4,109.5894,15394.45,10.88
2014-07-25,1579.04,110.2507,15455.04,10.88
2014-07-28,1578.32,109.6375,15445.22,11.51
2014-07-29,1580.96,109.536,15446.55,11.51
2014-07-30,1587.55,108.3852,15524.82,12.14
2014-07-31,1572.15,106.6034,15330.74,13.42
2014-08-01,1584.0,106.5624,15215.26,13.9
2014-08-05,1577.16,107.0715,15187.71,13.83
2014-08-06,1596.66,105.7783,15202.09,13.74
2014-08-07,1603.43,106.5146,15118.43,14.4
2014-08-08,1608.58,106.9848,15196.31,14.71
2014-08-11,1600.59,106.8999,15261.64,14.47
2014-08-12,1600.9,106.2576,15274.23,13.99
